2020-05-19 21:14:18 UTC | CORE | INFO | (cmd/agent/app/run.go:179 in StartAgent) | Starting Datadog Agent v7.19.2
2020-05-19 21:14:18 UTC | CORE | INFO | (cmd/agent/app/run.go:203 in StartAgent) | pid '19218' written to pid file '/opt/datadog-agent/run/agent.pid'
2020-05-19 21:14:18 UTC | CORE | INFO | (cmd/agent/app/run.go:210 in StartAgent) | Hostname is: missingkecl
2020-05-19 21:14:18 UTC | CORE | INFO | (pkg/api/security/security.go:145 in fetchAuthToken) | Saved a new authentication token to /etc/datadog-agent/auth_token
2020-05-19 21:14:18 UTC | CORE | INFO | (cmd/agent/app/run.go:237 in StartAgent) | GUI server port -1 specified: not starting the GUI.
2020-05-19 21:14:18 UTC | CORE | INFO | (pkg/forwarder/forwarder.go:231 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://7-19-2-app.agent.datadoghq.com" (1 api key(s))
2020-05-19 21:14:18 UTC | CORE | INFO | (cmd/agent/app/run.go:277 in StartAgent) | logs-agent disabled
2020-05-19 21:14:18 UTC | CORE | INFO | (pkg/dogstatsd/listeners/udp.go:97 in Listen) | dogstatsd-udp: starting to listen on 127.0.0.1:8125
2020-05-19 21:14:18 UTC | CORE | INFO | (pkg/collector/runner/runner.go:92 in NewRunner) | Runner started with 4 workers.
2020-05-19 21:14:18 UTC | CORE | INFO | (pkg/collector/python/init.go:303 in Initialize) | Initializing rtloader with python3 /opt/datadog-agent/embedded
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:120 in LogMessage) | - | (ddyaml.py:123) | monkey patching yaml.load...
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:120 in LogMessage) | - | (ddyaml.py:127) | monkey patching yaml.load_all...
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:120 in LogMessage) | - | (ddyaml.py:131) | monkey patching yaml.dump_all... (affects all yaml dump operations)
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/collector.go:57 in NewCollector) | Embedding Python 3.8.1 (default, May 11 2020, 16:02:59) [GCC 4.7.2]
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/autodiscovery/providers/file.go:74 in Collect) | file: searching for configuration files at: /etc/datadog-agent/conf.d
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/autodiscovery/providers/file.go:74 in Collect) | file: searching for configuration files at: /opt/datadog-agent/bin/agent/dist/conf.d
2020-05-19 21:14:19 UTC | CORE | WARN | (pkg/autodiscovery/providers/file.go:78 in Collect) | Skipping, open /opt/datadog-agent/bin/agent/dist/conf.d: no such file or directory
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/autodiscovery/providers/file.go:74 in Collect) | file: searching for configuration files at: 
2020-05-19 21:14:19 UTC | CORE | WARN | (pkg/autodiscovery/providers/file.go:78 in Collect) | Skipping, open : no such file or directory
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check cpu with an interval of 15s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check disk with an interval of 15s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check file_handle with an interval of 15s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check io with an interval of 15s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check load with an interval of 15s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check memory with an interval of 15s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check network with an interval of 15s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check ntp with an interval of 15m0s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:83 in Enter) | Scheduling check uptime with an interval of 15s
2020-05-19 21:14:19 UTC | CORE | INFO | (pkg/util/cloudprovider.go:45 in DetectCloudProvider) | No cloud provider detected
2020-05-19 21:14:20 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check ntp
2020-05-19 21:14:20 UTC | CORE | INFO | (pkg/collector/runner/runner.go:261 in work) | Running check cpu
2020-05-19 21:14:20 UTC | CORE | INFO | (pkg/collector/runner/runner.go:327 in work) | Done running check cpu
